iso_code,continent,location,date,population,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million
AUT,Europe,Austria,25/02/2020,9006400,2,2,,,,,0.222,0.222,,,,,,,,,,,,,
AUT,Europe,Austria,26/02/2020,9006400,2,0,,,,,0.222,0,,,,,,,,,,,,,
AUT,Europe,Austria,27/02/2020,9006400,3,1,,,,,0.333,0.111,,,,,,,,,,,,,
AUT,Europe,Austria,28/02/2020,9006400,3,0,,,,,0.333,0,,,,,,,,,,,,,
AUT,Europe,Austria,29/02/2020,9006400,9,6,,,,,0.999,0.666,,,,,,,,,,,,,
AUT,Europe,Austria,01/03/2020,9006400,14,5,2,,,0,1.554,0.555,0.222,,,0,,,,,,,,,
AUT,Europe,Austria,02/03/2020,9006400,18,4,2.571,,,0,1.999,0.444,0.286,,,0,,,,,,,,,
AUT,Europe,Austria,03/03/2020,9006400,21,3,2.714,,,0,2.332,0.333,0.301,,,0,,,,,,,,,
AUT,Europe,Austria,04/03/2020,9006400,29,8,3.857,,,0,3.22,0.888,0.428,,,0,,,,,,,,,
AUT,Europe,Austria,05/03/2020,9006400,41,12,5.429,,,0,4.552,1.332,0.603,,,0,,,,,,,,,
AUT,Europe,Austria,06/03/2020,9006400,55,14,7.429,,,0,6.107,1.554,0.825,,,0,,,,,,,,,
AUT,Europe,Austria,07/03/2020,9006400,79,24,10,,,0,8.772,2.665,1.11,,,0,,,,,,,,,
AUT,Europe,Austria,08/03/2020,9006400,104,25,12.857,,,0,11.547,2.776,1.428,,,0,,,,,,,,,
AUT,Europe,Austria,09/03/2020,9006400,131,27,16.143,,,0,14.545,2.998,1.792,,,0,2.88,,,,,,,,
AUT,Europe,Austria,10/03/2020,9006400,182,51,23,,,0,20.208,5.663,2.554,,,0,2.93,,,,,,,,
AUT,Europe,Austria,11/03/2020,9006400,246,64,31,,,0,27.314,7.106,3.442,,,0,2.99,,,,,,,,
AUT,Europe,Austria,12/03/2020,9006400,302,56,37.286,1,1,0.143,33.532,6.218,4.14,0.111,0.111,0.016,3.04,,,,,,,,
AUT,Europe,Austria,13/03/2020,9006400,504,202,64.143,1,0,0.143,55.96,22.428,7.122,0.111,0,0.016,3.13,,,,,,,,
AUT,Europe,Austria,14/03/2020,9006400,655,151,82.286,1,0,0.143,72.726,16.766,9.136,0.111,0,0.016,3.01,,,,,,,,
AUT,Europe,Austria,15/03/2020,9006400,860,205,108,1,0,0.143,95.488,22.762,11.991,0.111,0,0.016,2.87,,,,,,,,
AUT,Europe,Austria,16/03/2020,9006400,1018,158,126.714,3,2,0.429,113.031,17.543,14.069,0.333,0.222,0.048,2.74,,,,,,,,
